CandleID,Date,Rating,Review
1,8-Apr-18,5,"I love candles so much that most every day I'm either ... Yankee Candle Company candles used to see so high priced to be before I began buying candles. I love candles so much that most every day I'm either enjoying a fragrant candle or wishing I'd ordered more. Less expensive candles burn fast and often leave a black stain on the ceiling above. Or when you put them out you'll see dark smoke that kind of makes you wonder if burning candles is a smart thing to do for your living environment. The minute I began buying these Yankee Candle Company candles I realized they burn very clean and burn for about three times the length of a traditional brand. I bought 3 of these and my large apartment smells like a Christmas cookie but not so strong that the sweetness is overwhelming. I love to relax in bed, with my dog, Logan, at my side, and enjoy the beauty, fragrance and relaxation that only Yankee candle delivers always. If you can find these on sale and if the ratings are great then you should be making a purchase right now. I hope this helps. I don't receive anything in return for a review. Just a happy camper with these candles. And I'm a dude!"
1,8-Nov-18,1,"Not up to par. Would not recommend. Dissatisfied purchase. All Yankee Candle products I have bought in the past have been fantastic, however, these particular candles gave off relatively no scent. Would compare it to a cheap Walmart brand candle and wouldn’t recommend."
1,1-Feb-18,5,the Fresh Scent of a Northern Forest the scent was so perfect for the holiday season and now after - they last and last and last - chose not to do a tree and the scent of this candle allowed me to have the fresh scent of a Christmas Tree without the work and clean up - the candle was so satisfying I purchased another a week later for the back of the house.
1,4-Dec-18,1,"Smelled Bad I purchased three of these candles for my aunt (who is located in a different state across the country from where I live) who has severe mobility issues and wears a colostomy bag as a result of cancer treatment. She requested good quality & good smelling candles to help with the smell when she and her caregiver change her bag. I purchased the Balsam & Cedar, Lavender and Sparkling Cinnamon candles thinking that each would offer a pleasant and varied aroma depending on her mood. She was excited to receive the package and quickly tried each of the candles. Both she and her caregiver remarked that all three of the candles smelled ""cheap"", they said that ""they smell like Lysol"" and they're reminiscent of ""dollar store quality candles"". I am exceedingly disappointed. I expect more from Yankee Candle (a brand that I've personally used in my own home and normally have a high opinion of), I expect better quality for candles that cost more than $10 each. At the very least I expect for each of the candle aromas to be distinguishable from one another. Now my aunt is stuck with three terrible smelling candles that she won't use, and I think we can all agree that the situation must be bad if you prefer the smell of human waste to a product designed to freshen the air."
1,18-Jan-18,5,Favorite Yankee candle scent! My absolute favorite Yankee candle scent!  Use it year round.  Nice outdoor/natural scent that isn’t overpowering.Make sure to burn candle one hour for every diameter inch (approximately 4 inches for large jar) so that the wax melts evenly and you don’t waste any of the candle wax.
1,9-Sep-18,5,"Excellent candle. This candle transplants me instantly to the dark Canadian wilderness. Trees, pine cones and even a hint of snow come alive in a true treat for your nostrils. Be careful though, Fire is hot!"
1,29-Dec-17,1,Not the same rich cookie fragrance as in the past 2016 Christmas Cookie candles smelled wonderful. I purchased 3 this year and they didn't have near the rich cookie fragrance as it did last year and years before.. Something is definitely different. Disappointing......
1,17-Aug-18,5,Love Balsam & Cedar Balsam & Cedar has always been one of my favorite Yankee scents! I really like this scent for the holidays.Mine arrived in perfect condition and the scent lasted until the was was gone.
1,25-Feb-19,1,Its too bad. I have been burning this fragrance since it came out around 1994. It was the strongest and most beautifully blended Christmas scent that Yankee had put out. I would let it burn during the season and it fill my home with the smells of the season. The label was the most festive next to the Christmas Eve label that you could find from Yankee. Then they changed the Label before the latest change it slowly but since the label change the fragrance was never the same.  It became more of a metallic scent and did not have the depth it did for all the years. It seemed like it had been watered down. The most recent pours have been just a ghost of what it once was. I miss burning it during the holidays and have stopped buying it after 20 years of wonderful Christmases.  Im sorry all the people now buying it that give it 5 stars didn't know the beautiful seasonal scent it once was. But I guess Im glad that it is still purchased. Just wish it was the way it use to be.
1,2-Jan-19,1,"A candle must be smelled in person to be sure it is what you expect in a scent. I bought this thinking I'd have the faint pine scent of a real tree in the house for Christmas.  There were so many glowing reviews and Yankee candles have a good reputation, so I didn't think I could go wrong.  Admittedly, my husband has a sensitivity to smells, but he was right on this one - it didn't have that fresh pine smell.  It reminded me of the car air fresheners of old that people used to hang on their rear view mirrors.  It is much too strong - and not really the mild pine scent I had anticipated.  I gave it to a friend who wanted to try it and told her to donate it if she found they didn't like the scent."
1,20-Jul-18,3,"Three Stars Smells great, but candle arrived misshapen, as seen in photos. Wick not at surface."
1,1-Dec-18,1,No scent No scent.Very disappointing.Have never had this problem with Yankee candles before. Will only buy at Yankee Candle Store in the fuuture. I usually have been pleased with Amazon orders. Not this time
1,28-Oct-18,1,"Waste of money I've bought this scent at a Yankee candle store before, and the product I bought on Amazon isn't the same quality. It doesn't smell at all while burning. Extremely disappointed and a big waste of money."
1,15-Nov-19,4,"Where is the scent? Very weak. Old candles?? First, please know I am a huge Yankee Candle fan. They are my go-to for candles.That being said, I wondered why the Christmas Cookie candle has been such a great price. I ordered one, since I was out of holiday scents. The one I got just was not very powerful.I am not sure if these are just very old stock, or perhaps seconds. Normally, these fill the room with their wonderful scents. With the one I received, you can tell a candle is burning, but you'd never guess the scent (either while burning or after extinguishing it). Very different from my other YC items.So, just know that the price is great, but it might not be a bargain. It's still a nice looking candle; it just falls very short of what I have come to expect from Yankee Candle."
1,15-Dec-18,1,"Smells bad and left my throat scratchy. The candle smelled nothing of cedar or pine, after some hours of letting the candle burn a smell did grow more present in the room but it was more of a stuffy toxic smell and left my throat with a bad scratch so I snuffed it out. I'll be returning the other unused candle and this one too if I can.  I'm inclined to start believing third party claims that these are toxic."
1,3-Dec-18,1,N/A Item was supposed to smell like pine.. hardly any smell at all.calling Amazon tomorrow.return..thought Yankee candles were one of the best.can get more pine smell from car air freshener.
1,23-Dec-19,5,Smells delicious and lasts a long time I ordered this as a mistake for a Christmas gift and decided to keep it. I'm not usually a Yankee candle customer as I prefer a different brand. I didn't have high hopes for the scent to last or really permeate a large living room but I was wrong. I lit it in our basement den which is large and open to several other rooms. Within 30 minutes all of the rooms downstairs smelled great and it was beginning to drift upstairs. My poor husband thought I was baking cookies!
1,31-Jan-20,2,"Yankee Candles just aren’t any good anymore. For a Yankee Candle, and the price I paid, I was very disappointed. The smell was non-existent. I thought Yankee were once the best? Apparently greed must have killed them like it does so many businesses these days. You get people running the biz that want to start using cheaper quality materials to make more profit, and they raise prices to ridiculous levels because people love their products. Only they don’t realize people aren’t as stupid as they hoped. The people begin to realize that they just aren’t as good as they once were and they are WAY out of the ballpark now for the Quality to Cost ratio. So people try another brand and go wow, that’s a great candle! And they never go back. They then talk to their friends about it and the friends “wake up” and go “your right, their candles just aren’t that great anymore. Their prices have gotten ridiculous anyway.” It is now that they switch too over to that other brand that really knows how to make a great smelling candle, that stays smelling great, until the last bit of life leaves the flame on the wicks.I know for a fact that this happens as stated above. It is from direct experiences on my part, multiple times as well. I even started polling our friends and the majority of them actually verified the same sentiment. That Yankee Candles, which used to be everyone’s favorite,  have gone downhill so badly and have gotten so crazy expensive, that it just does not make sense to keep wasting the amount of time I have to work to pay for them. I work hard. I want quality for my money and time. I’m not going to spend an hour working to throw away on garbage. Companies don’t respect the people who work to pay their salaries. The only thing they care about is my money and not the time I slaved at work just to purchase their crappy product. What happened to the days when “customers come FIRST”? They’re gone and now it’s only about taking your money/time and passing it on to the fat executive that’s destroying their brand, just to make themselves and their greedy shareholders fatter and richer off the backs of those who do the REAL work in this world.... just for the privilege of buying their overpriced trinkets."
1,7-Feb-17,5,"Exactly as it should be from Yankee - the smell warms the whole house. I purchased this candle as a ME gift. A one time purchase for each member of Amazon. Received it quickly, it was wrapped very securely as to avoid breakage. No one make a room or even house smell this good. I live in a large home and lite this about 1.5 hours until my husband came home. He came in and the first thing he said was how great the house smelled. Thank you Amazon!"
1,12-Dec-19,1,"does not seem to be genuine This candle does not smell like a fresh candle.  Very weak fragrance when not lit and no noticeable fragrance when burning.  This is a waste of money.  It doesn't smell like a genuine Yankee candle, I think it's a fake.buyer beware"
